ToolErrorId,ErrorSource,ShellCliCommand,UIPage,LogFileNamePrefix,ErrorText,KBLink
Err_0001,Log,,,udppm,"Input/output error: ""/tmp/nfsDatastore",
Err_0002,Log,,,omd,Resource limit reached,
Err_0003,Log,,,psrv,Caught exception in creatingsnapshots 404 Not Found,
Err_0004,Log,,,upgrades,Not Enough space for upgrade. /boot requires at least 25% free space,
Err_0005,Log,,,udppm,Will read entire VMDK,
Err_0006,Log,,,Node.trc,Communication failure # Return code: 255,
Err_0007,Log,,,udppm,Error mounting NFS,
Err_0008,Log,,,psrv,Unable to connect to NFS server,
Err_0009,Log,,,udppm,message Object manager: VDisk deletion failed,
Err_0010,Log,,,psrv,ERROR: could not create unique index,
Err_0011,Log,,,psrv,ClassNotFoundException: org.jdom.JDOMException,
Err_0012,Log,,,udppm,Failed to open vdisk reader,
Err_0013,Log,,,udsagent,Failed to enable Change Block Tracking,
Err_0014,Log,,,cbt_install,ERROR [CBT ACTIVATE]: activation failed due to module load failed,
Err_0015,Log,,,Rman ,"Expecting One Of: ""newline, ;",
Err_0016,Log,,,Cloudbacker,Cannot insert legacy ACL for an object ,
Err_0017,Log,,,udsagent,NFS client packages are not installed on the host,
Err_0018,Log,,,udsagent,ORA-27038: created file already exists,
Err_0019,Log,,,udsagent,ORA-19913: unable to decrypt backup,
Err_0020,Log,,,udsagent,Protected volume group has insufficient space to hold logical volume snapshot data,
Err_0021,Log,,,psrv,java.lang.OutOfMemoryError: Java heap space,
Err_0022,Log,,,udppm,Failing the job since disk consolidation is pending on VM,
Err_0023,Log,,,udsagent,ORA-01089: immediate shutdown or close in progress - no operations are permitted,
Err_0024,Log,,,Rman ,ORA-03135: connection lost contact,
Err_0025,Log,,,udsagent,doSnapshot: Failed to create lvm volume,
Err_0026,Log,,,udsagent,"errorcode=""5213"" message=""Connector: Failed to restore transaction log for application",
Err_0027,Log,,,adhd,Creating data obj greater than max fan-out number,
Err_0028,Log,,,psrv,is owned by another Actifio appliance,
Err_0029,Log,,,udppm,Error occurred when obtaining NFC ticket,
Err_0030,Log,,,udppm,updateStatusAndQuit: errorCode 797 errorMsg Database: too few hostdata objects found,
Err_0031,Log,,,udsagent,VM has no backend LUNs configured,
Err_0032,Log,,,udsagent,An unexpected network error occurred [ERROR_UNEXP_NET_ERR],
Err_0033,Log,,,psrv,Unsupported disk presentation type: NFS for host,
Err_0034,Log,,,udsagent,CifsDiscoveryService: no username provided,
Err_0035,Log,,,udsagent,CifsDiscoveryService: No mapped network drives,
Err_0036,Log,,,psrv,"Reserved username, user creation is not allowed",
Err_0037,Log,,,udppm,Oracle application protection mode change from out of band to inband not allowed with out setting inband migration advisory option,
Err_0038,Log,,,udsagent,Failed to relocate database,
Err_0039,Log,,,customapp,Failed to relocate database,
Err_0040,Log,,,udsagent,The source snapshot volume is full because of insufficient free extents in the protected volume group,
Err_0041,Log,,,mom," insert or update on table ""backupconsumedmomdata"" violates foreign key constraint",
Err_0042,Log,,,udsagent,so we can catalog the partial image but failed with error 5131,
Err_0043,Log,,,udsagent,"Failed to add applications for snapshot, err 5911. Some services may fail to participate in the backup",
Err_0044,Log,,,udppm,Error opening vmdk file,
Err_0045,Log,,,messages,Kernel reported.*connection.[0-9:]*\serror,
Err_0046,Log,,,udsagent,Failed to execute script with error 8750 error message ERRORMSG:SYSTEMDB-Failed to Close Snapshot Error:FILE,
Err_0047,Log,,,Tenant backup,No space left on device,
Err_0048,Log,,,backup,No space left on device,
Err_0049,Log,,,udsagent,Cannot find path 'SQLSERVER,
Err_0050,Log,,,udsagent,ORA-10567: Redo is inconsistent with data block,
Err_0051,Log,,,udsagent,The ASM cluster is in rolling patch state,
Err_0052,Log,,,udsagent,The used space in the local target disk pool has exceeded the safe limit,
Err_0053,Log,,,udsagent,log switch on primary failed with exit code 5546 and message: ERROR: ORA-28009: connection as SYS should be as SYSDBA or SYSOPER,
Err_0054,Log,,,udsagent,"boot disk is MBR, but the staging disk size is more than 2TB",
Err_0055,Log,,,udppm,"LOGARCHMETH1 is not configure
Found offline applications:DB2Instance application",
Err_0056,Log,,,customapp,LOGARCHMETH1 is not configured,
Err_0057,Log,,,udsagent,"does not have LICENSE ADMIN privilege
check customapp-saphana.log",
Err_0058,Log,,,udsagent,Failed to unmount FS: Disk,
Err_0059,Log,,,udsagent,the file contains a virus or potentially unwanted software [ERROR_VIRUS_INFECTED],
Err_0060,Log,,,udsagent,Access to the registry key 'HKEY_LOCAL_MACHINE\SOFTWARE\M icrosoft\PowerShell\1\ShellIds\Microsoft.PowerShell' is denied.,
Err_0061,Log,,,udppm,Failed to fetch CloudVM details,
Err_0062,Log,,,psrv,Authentication error,
Err_0063,Log,,,Cloudbacker,failed to acquire access token from google cloud storage,
Err_0064,Log,,,psrv,"Cannot complete login due to an incorrect user name or password.
",
Err_0065,Log,,,udsagent, Failed to retrieve next object from enumerator,
Err_0066,Log,,,mom,error code: 10023 http status: 500 message: UI command failure,
Err_0067,Log,,,udsagent,A network-related or instance-specific error has occurred while establishing a connection to SQL Server,
Err_0068,Log,,,udsagent,Failed to fetch backup config files,
Err_0069,Log,,,collection,UnicodeEncodeError: 'ascii' codec can't encode characters,
Err_0070,Log,,,udsagent, WBEM_E_QUOTA_VIOLATION,
Err_0071,Log,,,mom,"LDAP: error code 49 
LDAP: error code 52e",
Err_0072,Log,,,udppm,removeRawDeviceMappings: Failed to remove RDMs,
Err_0073,Log,,,psrv,Stale files from VMware.,
Err_0074,Log,,,udsagent,createStagingVolume: Failed to create,
Err_0075,Log,,,udsagent,on zero error returned by one of the user scripts,
Err_0076,Log,,,udppm,Application discovery failed because of Oracle insufficient privileges,
Err_0077,Log,,,udppm,"Oracle: Application in Non Archive mode, failed to take DB backup",
Err_0078,Log,,,udsagent,"Oracle: Application in Non Archive mode, failed to take DB backup",
Err_0079,Log,,,udppm,Oracle: Failed to backup controlfile,
Err_0080,Log,,,udsagent,ORA-01017: invalid username/password,
Err_0081,Log,,,Rman ,error encountered while parsing input commands,
Err_0082,Log,,,udsagent,archivelog backup: archivelog backup FAILED,
Err_0083,Log,,,udppm,Oracle: Failed to backup archivelog,
Err_0084,Log,,,udsagent,diskgroup is incomplete,
Err_0085,Log,,,messages,tomcat' process is not running,
Err_0086,Log,,,udsagent,"Failed syncing staging volume, err 5087",
Err_0087,Log,,,udsagent,date: write error: No space left on device,
Err_0088,Log,,,udppm,Error getting vm list,
Err_0089,Log,,,adhd,Fingerprint mismatch,
Err_0090,Log,,,psrv,This key is not certified with a trusted signature,
Err_0091,Log,,,psrv,WARNING java.lang.RuntimeException: Exceeded max command handlers,
Err_0092,Log,,,messages,messages.log,
Err_0093,Log,,,psrv,"invalid value for parameter ""TimeZone"":",
Err_0094,Log,,,udppm,Got error message from psrv org.hibernate.StaleStateException: Batch update returned unexpected row count from update,
Err_0095,Log,,,psrv,"max thread count exceeded, exiting",
Err_0096,Log,,,udppm,Error from platform services due to TIMEOUT ,
Err_0097,Log,,,udsagent,IsDirty=true,
Err_0098,Log,,,udsagent,The shadow copy provider had an unexpected error while trying to process the specified operation,
Err_0099,Log,,,udsagent,Failed make filesystem on staging volume,
Err_0100,Log,,,mom,GC overhead limit exceeded,
Err_0101,Log,,,udppm,Failed to create VSS snapshot ,
Err_0102,Log,,,udppm,Engine timed out polling VM task completion status,
Err_0103,Log,,,udsagent,Failed to fetch VG name,
Err_0104,Log,,,udsagent,"ETM does not exists, please check!",
Err_0105,Log,,,customapp,"ETM does not exists, please check!",
Err_0106,Log,,,udsagent,No SQL Server instances found on the server,
Err_0107,Log,,,udsagent,Not able to connect postgreSQL database,
Err_0108,Log,,,udsagent,could not found DiskObject,
Err_0109,Log,,,udsagent,duplicate PV devices,
Err_0110,Log,,,udppm,Could not connect to backup host Failed to connect to connector on VM after power ON,
Err_0111,Log,,,udsagent,PG_DATA is not in the PG_LVM_MOUNT list,
Err_0112,Log,,,udppm,Failed to create disk reader for fingerprint calculation,
Err_0113,Log,,,udsagent,NFS client packages are not installed on the host,
Err_0114,Log,,,udppm,Failed to get VM details,
Err_0115,Log,,,udsagent,SmartCopy failed with an unknown error code,
Err_0116,Log,,,udsagent,The volume does not contain a recognized file system.,
Err_0117,Log,,,udsagent,Some services may fail to participate in the backup,
Err_0118,Log,,,udppm,Actifio Connector failed to format the backup staging LUN value,
Err_0119,Log,,,udppm,Error output socket: Bad file descriptorconnect,
Err_0120,Log,,,udppm,Failed to open vdisk reader,
Err_0121,Log,,,udppm, no available job slots or would be too many jobs per host,
Err_0122,Log,,,udppm,Cancelling data movement for subjob,
Err_0123,Log,,,udppm,Oracle: Application in Non Archive mode,
Err_0124,Log,,,udsagent,Oracle: Application in Non Archive mode,
Err_0125,Log,,,udsagent,ORA-01017: invalid username/password,
Err_0126,Log,,,udppm,Oracle: Credentials validation failed,
Err_0127,Log,,,udppm,failed to delete backupdata objects,
Err_0128,Log,,,udppm,Failed to find Actifio mapped LUN,
Err_0129,Log,,,udppm,vmhost failed target returned login error: 0201,
Err_0130,Log,,,udppm,Failed to activate snapshot collection,
Err_0131,Log,,,udppm,Failed to find scsi device for,
Err_0132,Log,,,udsagent,Error: 21776: Worker thread failed,
Err_0133,Log,,,udsagent,Found invalid physical volume in staging disks,
Err_0134,Log,,,udppm,Could not open directory at,
Err_0135,Log,,,udsagent,SetFileValidData failed,
Err_0136,Log,,,udsagent,CatalogFileScanner: Scan failed,
Err_0137,Log,,,udsagent,This drive is locked by BitLocker Drive Encryption. You must unlock this drive from Control Panel,
Err_0138,Log,,,psrv,UnknownHostException: oauth2.googleapis.com,
Err_0139,Log,,,udsagent,failed to find SQLServerWriter,
Err_0140,Log,,,udsagent,failed to find SQL VSS Writer,
Err_0141,Log,,,udsagent,failed to find SQL Server VSS Writer,
Err_0142,Log,,,udsagent,"SaveAppMetadata: Failed to fetch backup config files, err -1",
Err_0143,Log,,,udsagent,Failed to run metadata script for SystemState backup,
Err_0144,Log,,,collection,ERROR 200: Failed to collect attributes,
Err_0145,Log,,,udppm,Failed to discover/reprotect mounted applications,
Err_0146,Log,,,udppm,Aborting app consistent backup as VMware tools are not running in vm,
Err_0147,Log,,,udsagent,Oracle: Listener service is not running,
Err_0148,Log,,,udsagent,ORA-00845: MEMORY_TARGET not supported on this system,
Err_0149,Log,,,udsagent,Trying to delete any created database,
Err_0150,Log,,,udppm,CreateVssBackupComponents failed: E_ACCESSDENIED,
Err_0151,Log,,,udppm,Failed removing udsobject,
Err_0152,Log,,,udsagent,Application discovery failed. Check whether it is configured and running correctly,
Err_0153,Log,,,udsagent,Specified target SQL instance not found,
Err_0154,Log,,,udppm,Failed to verify fingerprint,
Err_0155,Log,,,udppm,"errorcode=""ERRORCODE""",
Err_0156,Log,,,udsagent,Incomplete device driver configuratio,
Err_0157,Log,,,udsagent,"open(ReadWrite, CreateNew) failed for",
Err_0158,Log,,,udsagent,Failed discovering the staging luns,
Err_0159,Log,,,psrv,invalid provision option,
Err_0160,Log,,,udsagent,No space left on device,
Err_0161,Log,,,udsagent,Failed to check consistency during readContent: Inconsistent SSFS,
Err_0162,Log,,,udppm,Script not found. Superscript validation failed,
Err_0163,Log,,,udppm,Cancelling data movement for subjob,
Err_0164,Log,,,psrv,Cannot set lockbox entry,
Err_0165,Log,,,udsagent,mount.nfs: Address already in use,
Err_0166,Log,,,udsagent,password authentication failed,
Err_0167,Log,,,udppm,no matching diskpool,
Err_0168,Log,,,udsagent,"""Found SQL Server database DATA\w{4}\sbut instance\snames.*don't\smatch""",
Err_0169,Log,,,udsagent,There is not enough space on the disk.,
Err_0170,Log,,,udsagent,Unable to create audit trail file,
Err_0171,Log,,,udsagent,Oracle: Failed to switch log,
Err_0172,Log,,,udsagent,ORA-29701: unable to connect to Cluster Synchronization Service,
Err_0173,Log,,,udsagent,write error: No space left on device,
Err_0174,Log,,,udsagent,Oracle: Failed to switch log,
Err_0175,Log,,,Cloudbacker,Insufficient storage is available,
Err_0176,Log,,,udsagent,ASM preferred diskgroup already exists,
Err_0177,Log,,,udppm,Unable to run snapshot job for application .*for the past.*OnVault pool readiness check,
Err_0178,Log,,,udppm,Failed to find svc mapped luns from esx host,
Err_0179,Log,,,udsagent,COM function validateBackupApplications(applications) failed: E_INVALIDARG,
Err_0180,Log,,,psrv,NoRouteToHostException: No route to host (Host unreachable),
Err_0181,Log,,,mom,Cannot find target vm,
Err_0182,Log,,,psrv,Invalid configuration for device,
Err_0183,Log,,,udsagent,Specified value of sga_target \b\d.*\b is too small,
Err_0184,Log,,,udsagent,TARGET database is not current,
Err_0185,Log,,,udsagent,diskgroup.*space exhausted,
Err_0186,Log,,,udppm,VM task failed The operation is not allowed in the current state of the datastore,
Err_0187,Log,,,udppm,The virtual disk is either corrupted or not a supported format,
Err_0188,Log,,,udppm,Failed to quiesce the virtual machine,
Err_0189,Log,,,udsagent,not protectable by VSS connector,
Err_0190,Log,,,udppm,Too frequent operations from the source resource,
Err_0191,Log,,,udppm,A JSONObject text must begin with,
Err_0192,Log,,,psrv,A JSONObject text must begin with,
Err_0193,Log,,,psrv,SlaDataHandler.validatePolicies,
Err_0194,Log,,,mom,LDAP: error code 49,
Err_0195,Log,,,mom,LDAP: error code 52e,
Err_0196,Log,,,omd,Resource limit reached,
Err_0197,Log,,,mom,object not found: 3701249,
Err_0198,Log,,,messages,tomcat' failed to start,
Err_0199,Log,,,udsagent,diskgroup is incomplete,
Err_0200,Log,,,mom,waiting for cluster lock times out,
Err_0201,Log,,,adhd,is v2d with no bitmap,
Err_0202,Log,,,udppm,iqn.1991-05.com.microsoft:gorctxdb02.spil.com Host has logged into the Appliance iSCSI target Failed Verify that the host has been configured to login to the Appliance IP address,
Err_0203,Log,,,udsagent,Cannot process volume group ,
Err_0204,Log,,,customapp,QUIESCE DATABASE failed with error 2276,
Err_0205,Log,,,psrv,Missing Compute Admin permissions,
Err_0206,Log,,,mom, [sdg] timing out command,
Err_0207,Log,,,messages,detected conn error,
Err_0208,Log,,,udppm,unable to establish master SSH connection,
Err_0209,Log,,,udppm,cannot access /tmp/nfsDatastore: Input/output error,
Err_0210,Log,,,psrv,"""INFO ping to act.*failed""",
Err_0211,Log,,,t3,"This command can only be run by the superuser
",
Err_0212,Log,,,udppm,Failed to fetch CloudVM details,
Err_0213,Log,,,psrv,cloudbacker: configuration validation got err 53,
Err_0214,Log,,,psrv,cloudbacker: configuration validation got err 1,
Err_0215,Log,,,psrv,configuration validation got err 2: Permission denied,
Err_0216,Log,,,psrv,configuration validation got err 3: Permission denied,
Err_0217,Log,,,psrv,Address family not supported by protocol,
Err_0218,Log,,,psrv,cloudbacker: configuration validation got err 3: Operation now in progress,
Err_0219,Log,,,psrv,duplicate application on the same host/instance not allowed,
Err_0220,Log,,,udppm,updateStatusAndQuit: errorCode 933 errorMsg Failed to find VM VMWare Error VMAPI: Failed to find VM with matching BIOS UUID.,
Err_0221,Log,,,udppm,Error 18000 (Cannot connect to the host),
Err_0222,Log,,,udppm,Actifio Connector failed to unmount the logical volume present on the LUN mapped from Actifio,
Err_0223,Log,,,udsagent,Found process using device ,
Err_0224,Log,,,udppm,backup-prepare errorcode=5046,
Err_0225,Log,,,udsagent,updateStatusAndQuit: errorCode 1101 errorMsg Maximum luns reached for host Maximum luns for host ,
Err_0226,Log,,,streamsnapd,connection limit reached on peer,
Err_0227,Log,,,streamsnapd,Retriable plexer connect error 5 ,
Err_0228,Log,,,udppm,updateStatusAndQuit:message 698: ESX host is not accessible for NBD mode data movement.,
Err_0229,Log,,,udppm,errorCode 15 errorMsg Could not connect to backup host,
Err_0230,CLI,nc -zv <IP of backup host> 5106,,,Connection refused,
Err_0231,CLI,systemctl status udsagent,,,disabled,
Err_0232,CLI,ping <esxHostName>,,,"3 packets transmitted, 3 received,0% packet loss",
Err_0233,CLI,reportmappeddisks -c | grep -i esxHostName,,,"Check if ""reportmappeddisks -c | grep -i esxHostName | wc -l "" returns 256",
Err_0234,CLI,udstask chhost -blockcbt enable 14599437,,,"udsinfo lshost 14599437|grep blockcbt | grep -i disabled
blockcbt disabled",
